Time,X,Y,Z,VX,VY,VZ,Roll,Pitch,Yaw,RollRate,PitchRate,YawRate
1.3300,0.0000,0.0000,3.6378,0.0000,0.0000,0.5157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3400,0.0000,0.0000,3.6421,0.0000,0.0000,0.4338,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3500,0.0000,0.0000,3.6456,0.0000,0.0000,0.3520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3600,0.0000,0.0000,3.6483,0.0000,0.0000,0.2703,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3700,0.0000,0.0000,3.6502,0.0000,0.0000,0.1886,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3800,0.0000,0.0000,3.6513,0.0000,0.0000,0.1072,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3900,0.0000,0.0000,3.6515,0.0000,0.0000,0.0259,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4000,0.0000,0.0000,3.6510,0.0000,0.0000,-0.0552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4100,0.0000,0.0000,3.6496,0.0000,0.0000,-0.1360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4200,0.0000,0.0000,3.6475,0.0000,0.0000,-0.2165,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4300,0.0000,0.0000,3.6445,0.0000,0.0000,-0.2967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4400,0.0000,0.0000,3.6407,0.0000,0.0000,-0.3764,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4500,0.0000,0.0000,3.6362,0.0000,0.0000,-0.4558,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4600,0.0000,0.0000,3.6308,0.0000,0.0000,-0.5346,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4700,0.0000,0.0000,3.6247,0.0000,0.0000,-0.6130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4800,0.0000,0.0000,3.6178,0.0000,0.0000,-0.6909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4900,0.0000,0.0000,3.6101,0.0000,0.0000,-0.7681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5000,0.0000,0.0000,3.6017,0.0000,0.0000,-0.8448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5100,0.0000,0.0000,3.5925,0.0000,0.0000,-0.9208,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5200,0.0000,0.0000,3.5825,0.0000,0.0000,-0.9962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5300,0.0000,0.0000,3.5718,0.0000,0.0000,-1.0708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5400,0.0000,0.0000,3.5603,0.0000,0.0000,-1.1447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5500,0.0000,0.0000,3.5482,0.0000,0.0000,-1.2177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5600,0.0000,0.0000,3.5353,0.0000,0.0000,-1.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5700,0.0000,0.0000,3.5216,0.0000,0.0000,-1.3614,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5800,0.0000,0.0000,3.5073,0.0000,0.0000,-1.4319,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5900,0.0000,0.0000,3.4923,0.0000,0.0000,-1.5015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6000,0.0000,0.0000,3.4766,0.0000,0.0000,-1.5702,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6100,0.0000,0.0000,3.4602,0.0000,0.0000,-1.6379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6200,0.0000,0.0000,3.4432,0.0000,0.0000,-1.7045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6300,0.0000,0.0000,3.4255,0.0000,0.0000,-1.7702,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6400,0.0000,0.0000,3.4071,0.0000,0.0000,-1.8347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6500,0.0000,0.0000,3.3882,0.0000,0.0000,-1.8982,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6600,0.0000,0.0000,3.3686,0.0000,0.0000,-1.9605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6700,0.0000,0.0000,3.3483,0.0000,0.0000,-2.0217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6800,0.0000,0.0000,3.3275,0.0000,0.0000,-2.0817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6900,0.0000,0.0000,3.3061,0.0000,0.0000,-2.1404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7000,0.0000,0.0000,3.2841,0.0000,0.0000,-2.1980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7100,0.0000,0.0000,3.2616,0.0000,0.0000,-2.2543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7200,0.0000,0.0000,3.2385,0.0000,0.0000,-2.3093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7300,0.0000,0.0000,3.2149,0.0000,0.0000,-2.3630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7400,0.0000,0.0000,3.1907,0.0000,0.0000,-2.4154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7500,0.0000,0.0000,3.1660,0.0000,0.0000,-2.4664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7600,0.0000,0.0000,3.1409,0.0000,0.0000,-2.5160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7700,0.0000,0.0000,3.1152,0.0000,0.0000,-2.5643,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7800,0.0000,0.0000,3.0891,0.0000,0.0000,-2.6111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7900,0.0000,0.0000,3.0626,0.0000,0.0000,-2.6566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8000,0.0000,0.0000,3.0356,0.0000,0.0000,-2.7005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8100,0.0000,0.0000,3.0081,0.0000,0.0000,-2.7430,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
